STATION,STATION_NAME,YEAR,Month,Flag,AvgOfTPCP,Missing,Consecutive Missing
GHCND:average,PORTAL AZ US 4-2 SW,1952,12,1,330.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,1,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,2,1,545,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,3,1,262.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,4,1,47.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,5,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,6,1,203.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,7,1,1356,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,8,1,161.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,9,1,24,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,10,1,62.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,11,1,143.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1953,12,1,154,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,1,1,301.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,2,1,81,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,3,1,608.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,4,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,5,1,126.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,6,1,37,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,7,1,1162.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,8,1,1340,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,9,1,262.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,10,1,254.5,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,11,1,0,0,0
GHCND:average,PORTAL AZ US 4-2 SW,1954,12,1,32,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,1,1,471,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,2,1,42,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,3,1,340.5,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,4,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,5,1,208,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,6,1,74,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,7,1,1342,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,8,1,1069,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,9,1,53,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,10,1,266,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,11,1,18,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1955,12,1,84,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,1,1,96,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,2,1,119,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,3,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,4,1,38,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,5,1,41,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,6,1,133,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,7,1,1324,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,8,1,551,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,9,1,36,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,10,1,173,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,11,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1956,12,1,90,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,1,1,687,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,2,1,56,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,3,1,455,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,4,1,178,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,5,1,299,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,6,1,265,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,7,1,726,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,8,1,2227,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,9,1,15,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,10,1,483,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,11,1,292,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1957,12,1,120,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,1,1,25,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,2,1,419,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,3,1,771,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,4,1,178,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,5,1,13,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,6,1,156,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,7,1,1424,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,8,1,1102,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,9,1,1113,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,10,1,441,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,11,1,181,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1958,12,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,1,1,160,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,2,1,531,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,3,1,30,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,4,1,55,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,5,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,6,1,168,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,7,1,978,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,8,1,2678,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,9,1,81,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,11,1,240,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1959,12,1,623,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,1,1,1228,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,2,1,104,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,3,1,68,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,4,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,5,1,23,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,6,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,7,1,1527,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,8,1,188,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,9,1,443,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,10,1,645,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,11,1,13,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1960,12,1,235,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,1,1,254,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,2,1,10,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,3,1,110,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,4,1,13,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,5,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,6,1,366,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,7,1,519,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,8,1,1739,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,9,1,822,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,10,1,442,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,11,1,788,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1961,12,1,675,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,1,1,786,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,2,1,21,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,3,1,397,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,4,1,30,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,5,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,6,1,386,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,7,1,2386,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,8,1,236,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,9,1,583,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,10,1,363,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,11,1,170,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1962,12,1,1148,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,1,1,384,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,2,1,188,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,3,1,66,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,4,1,193,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,5,1,0,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,6,1,56,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,7,1,666,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,8,1,2856,0,0
GHCND:USC00026186,PORTAL 4-2 SW AZ US,1963,9,1,305,0,0
