STATION,STATION_NAME,YEAR,Month,Flag,TPCP_10thmm,Missing,Consecutive Missing,
GHCND:USC00027560,SAN SIMON AZ US,1942,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,7,1,170,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,8,1,695,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,9,1,100,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,10,1,43,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,11,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1942,12,1,232,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,1,1,133,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,2,1,38,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,3,1,295,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,6,1,137,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,7,1,299,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,8,1,764,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,9,1,325,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,10,1,71,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,11,1,38,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1943,12,1,165,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,1,1,213,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,2,1,214,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,3,1,120,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,4,1,74,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,5,1,23,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,7,1,534,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,8,1,473,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,9,1,528,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,10,1,280,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,11,1,137,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1944,12,1,188,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,1,1,224,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,3,1,30,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,7,1,420,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,8,1,344,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,9,1,51,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,10,1,640,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,11,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1945,12,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,1,1,596,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,2,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,3,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,7,1,152,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,8,1,330,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,9,1,46,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1946,10,1,148,0,0,
